word,definition,present,example,past,conditional,subjunctive,future,imperfect,continuousProgressive,mark
la temporada,season,,,,,,,,,
la primavera,spring,,,,,,,,,
el verano,summer,,,,,,,,,
hasta,until; even; as much as,,,,,,,,,
período,period,,,,,,,,,
estación,season; station,,,,,,,,,
el invierno,winter,,,,,,,,,
un rato/rato,for awhile; awhile/while,,por un rato (for awhile),,,,,,,
segundos,seconds,,,,,,,,,
cita,appointment,,,,,,,,,
mediodía,noon; midday; lunchtime,,,,,,,,,
la madrugada,dawn; daybreak,,,,,,,,,
cumpleaños,birthday,,,,,,,,,
mañana,morning; tomorrow; future,,,,,,,,,
fecha,date,,,,,,,,,
anoche,last night,,,,,,,,,
pequeño,small; little,,,,,,,,,
alta,tall; discharge; membership,,,,,,,,,
grandes,big; large,,,,,,,,,
de,of; from; by,,,,,,,,,
largo,long,,,,,,,,,
gran,big; great; large,,,,,,,,,
baja,short; descend; lower,,,,,,,,,
corto,short,,,,,,,,,
enorme,enormous; huge; vast,,,,,,,,,
cuchara,spoon; bucket,,,,,,,,,
vaso,glass; cup,,,,,,,,,
la cama,bed,,,,,,,,,
la ventana,window,,,,,,,,,
la cuna,crib,,,,,,,,,
el teléfono,telephone,,,,,,,,,
la televisión,television,,,,,,,,,
la esponja,sponge,,,,,,,,,
cocina,kitchen,,,,,,,,,
a tráves de,through,,,,,,,,,
rey,king,,,,,,,,,
maestro,master; teacher,,,,,,,,,
jefe,boss,,"Como quiere que sea, el jefe tenía razón. (One way or another, the boss was right.)",,,,,,,
reina,queen,,,,,,,,,
lengua,language,,La pluma es la lengua del alma. (The pen is the language of the soul.),,,,,,,
abaratar,"to reduce the price of, to reduce the value of, to cheapen",,"El Banco Central Europeo abarató cuatro veces los tipos de interés hasta el 3,25 actual. (The Central European Bank reduced the interest rates four times to the current 3.25 percent.)",,,,,,,
cada,every; all,,"A casa de tu tía, mas no cada día. (To the house of your aunt, but not each day.)",,,,,,,
también,also; as well,,También tiene que tener los cubos de hielo y un abrebotellas. (You also have to have the ice cubes and a bottle opener.),,,,,,,
el remolque,"trailer, the act or practice of towing, the act of being towed or dragged behind",,"Los 60.000 Kg. de artículos de necesidad, una carga equivalente a seis camiones con remolque llenos, llegaron al a más de 20.000 personas de la Península de Yucatán. (The 60,000 kg of necessities, a load equivalent to six full tractor-trailer rigs, arrived for more than 20,000 residents of the Yucatan Peninsula.)",,,,,,,
morir,to die,,,,,,,,,
soldado,soldier,,,,,,,,,
el juez,judge; referee,,,,,,,,,
empresario,entrepreneur,,,,,,,,,
mismo,same; identical; equal to,,Hay la misma diferencia entre un sabio y un ignorante que entre un hombre vivo y un cadáver. (The difference between a learned man and an ignorant one is the same as that between a living man and a corpse.),,,,,,,
espacio,space,,El tiempo no es sino el espacio entre nuestros recuerdos. (Time is just the space between our memories.),,,,,,,
recuerdo,memory,,,,,,,,,
la unidad,"unit, unity",,La Unidad de Servicios a las Víctimas provee servicios a víctimas de habla hispana en su propia lengua. (The Crime Victims Unit provides services to Spanish-speaking victims in their own language.),,,,,,,
propio,"own (""my own dog"")",,,,,,,,,
periodista,journalist; reporter,,,,,,,,,
capitán,,,,,,,,,,
el espejo,mirror,,,,,,,,,
el escritorio,the desk,,,,,,,,,
sartén,pan,,,,,,,,,
la puerta,door,,,,,,,,,
el sofá,sofa,,,,,,,,,
la lámpara,lamp,,,,,,,,,
comandante,,,,,,,,,,
agente,agent,,,,,,,,,
especialidad,specialty,,,,,,,,,
el dueño,owner; landlord; proprietor,,,,,,,,,
el pintor,painter,,,,,,,,,
especialistas,specialists; experts,,,,,,,,,
la granjera,farmer,,,,,,,,,
ingenieros,engineers,,,,,,,,,
la carpintera,carpinter,,,,,,,,,
sacerdote,priest,,,,,,,,,
trabajo,work; job,,,,,,,,,
la profesión,profession,,,,,,,,,
panader,baker,,,,,,,,,
atleta,athlete,,,,,,,,,
conductor,driver,,,,,,,,,
cajero,cashier,,,,,,,,,
mesero,waiter,,,,,,,,,
cocinero,cook; chef,,,,,,,,,
el piso,the floor,,,,,,,,,
la pared,wall; side; face,,,,,,,,,
el techo,ceiling; roof,,,,,,,,,
el sótano,basement,,,,,,,,,
el horno,the oven,,,,,,,,,
la escalera,ladder; stairs; staircase,,,,,,,,,
dormitorio,bedroom,,,,,,,,,
limpiar,to clean,,,,,,,,,
refrigerador,refrigerator,,,,,,,,,
el cepillo,brush,,,,,,,,,
la lavadora,washing machine,,,,,,,,,
la habitación,room,,,,,,,,,
el baño,bathroom,,,,,,,,,
la secadora,dryer; hair dryer,,,,,,,,,
el paraguas,umbrella,,,,,,,,,
la sábana,sheet; note; paper,,,,,,,,,
jabón,soap,,,,,,,,,
la cartera,wallet; purse,,,,,,,,,
rasuradora,razor; shaver,,,,,,,,,
fruto,fruit,,"El fruto del silencio es la oración.
El fruto de la oración es la fe.
El fruto de la fe es el amor.
El fruto del amor es el servicio.
El fruto del servicio es la paz.
(The fruit of silence is prayer.
The fruit of prayer is faith.
The fruit of faith is love.
The fruit of love is service.
The fruit of service is peace.)",,,,,,,
abrillantar,"to polish, to make shiny",,Generalmente los abrillanto con limpiacristales y una bayeta. (Usually I polish them with glass cleaner and a soft cloth.),,,,,,,
generalmente,generally,,,,,,,,,
el yo,"the self, the ego",,Nuestro programa básico es el fortalecimiento del yo interior. (Our basic program is the strengthening of the inner self.),,,,,,,
sábana,bedsheet; sheet,,,,,,,,,
viejo,old,,,,,,,,,
joven,young,,,,,,,,,
bilingüe,bilingual,,,,,,,,,
historia,story,,,,,,,,,
ciego,blind,,,,,,,,,
fea,ugly,,,,,,,,,
menor,younger,,,,,,,,,
mayer,older,,,,,,,,,
primero,first,,,,,,,,,
mejor,best; more; better,,,,,,,,,
útil,useful,,,,,,,,,
cierto,true,,,,,,,,,
falso,false,,,,,,,,,
posible,possible,,,,,,,,,
hoy,today,,,,,,,,,
día,day,,,,,,,,,
real,real,,,,,,,,,
solo,alone,,,,,,,,,
dura,hard; last,,,,,,,,,
único,only; unique,,,,,,,,,
distinta,different; distinct; several,,,,,,,,,
principal,main; principal; capital,,,,,,,,,
seguro,safe; secure; stable,,,,,,,,,
capaz,capable; able,,,,,,,,,
simple,simple,,,,,,,,,
suficiente,sufficient; enough,,,,,,,,,
siguiente,next; following,,,,,,,,,
peor,worse; poorer,,,,,,,,,
familiar,familiar; family,,,,,,,,,
tanto,so much; as much as,,,,,,,,,
pobre,poor,,,,,,,,,
clara,clear; light; pale,,,,,,,,,
el informe,"report, statement, information",,No ha leído el informe de congreso. (He has not read the congressional report.),,,,,,,
soga,noose,,No hables de la soga en casa del ahorcado. (Don't talk about the noose in the house of the hanged man.),,,,,,,
el abecedario,"alphabet, book used to teach the alphabet or spelling, alphabetized list",,"El abecedario de la fe:
Alaba a Dios en cada circunstancia de la vida.
Busca la excelencia, no la perfección.
Cuenta tus bendiciones.
The ABCs of faith:
Always praise God regardless of life's circumstances.
Be in pursuit of excellence, not perfection.
Count your blessings.El abecedario de la fe:
Alaba a Dios en cada circunstancia de la vida.
Busca la excelencia, no la perfección.
Cuenta tus bendiciones.
The ABCs of faith:
Always praise God regardless of life's circumstances.
Be in pursuit of excellence, not perfection.
Count your blessings.",,,,,,,
la noche,night,,La ignorancia es la noche de la mente: pero una noche sin luna y sin estrellas. (Ignorance is the night of the mind: a night with neither moon nor stars. ),,,,,,,
la asquerosidad,"filth or something filthy, something disgusting, something repulsive, obscenity",,"No podía evitar mirarla, a pesar de su abyecta asquerosidad. (I could not quit looking at it, despite its abject repulsiveness.)",,,,,,,
plano,flat; map; plane,,,,,,,,,
justo,just; fair; right,,,,,,,,,
recientes,recent,,,,,,,,,
pasada,last; past,,,,,,,,,
barato,cheap; commercial,,,,,,,,,
rápido,fast; quick,,,,,,,,,
caro,expensive; face; side,,caro/barato (expensive/inexpensive),,,,,,,
juntos,together; at the same time; both,,,,,,,,,
conocer,to know,,,,,,,,,
llevar,to take; to wear,,,,,,,,,
seguir,to follow; to continue,,,,,,,,,
quedar,to remain; to stay,,,,,,,,,
perder,to lose,,,,,,,,,
presentar,to present,,,,,,,,,
paso,,,,,,,,,,
sencillo,,,,,,,,,,
frasco,,,,,,,,,,
pastilla,,,,,,,,,,
seccíon,section,,,,,,,,,
temporada,,,,,,,,,,
críticas,critics,,,,,,,,,
sueño,dream,,,,,,,,,
sala,,,,,,,,,,
cónsul,,,,,,,,,,
autoridades,,,,,,,,,,
cartar,,,,,,,,,,
caer,,,,,,,,,,
traer,to bring,,,,,,,,,
variedad,variety,,,,,,,,,
más,more,,,,,,,,,
el gancho,"hook (literal or figurative), something shaped like a hook (such as a hairpin), something that acts as a lure",,El tipo de gancho que debemos usar estará dado por las características del emplazamiento donde pescamos y por las dimensiones y naturaleza del pez. (The type of hook we should use will be determined by the characteristics of the place where we are fishing and by the size and nature of the fish.),,,,,,,
levantar,,,,,,,,,,
volar,,,,,,,,,,
constante,constant,,,,,,,,,
luch,,,,,,,,,,
culminar,to culminate,,,,,,,,,
piel,skin?,,,,,,,,,
cargar,,,,,,,,,,
participar,to partcipate,,,,,,,,,
representar,to represent,,,,,,,,,
asistir,to assist; to help; to attend,,asisto,,,,,,,
cual,,,No te cases con alguien con quien puedas vivir  cásate con la persona sin la cual no puedas vivir. (Don't marry the person you think you can live with; marry only the individual you think you can't live without.),,,,,,,
impedir,"to impede, to obstruct, to prevent",,"Karina nació sin brazos, pero no le impide escribir y dibujar. (Karina was born without arms, but this doesn't keep her from writing and drawing.)",,,,,,,
poder,power; strong,,"El poder tiende a corromper, el poder absoluto corrompe absolutamente. (Power tends to corrupt, and absolute power corrupts absolutely.)",,,,,,,
tender,to tend to,,,,,,,,,
desplomar,"to disclocate, to cause not to be straight, to cause to lean, to knock over",,Todo vestigio de orden se ha desplomado junto con los edificios. (Every vestige of order has been toppled along with the buildings.),,,,,,,
desear,to desire; to want,,,,,,,,,
algo,something; anything; a little,,"algo; algos; Si algo puede salir mal, saldrá mal. (If something can go wrong it will go wrong.)",,,,,,,
la mente,mind,,"El amor mira no con los ojos, sino con la mente. (Love looks not with the eyes, but with the mind.)",,,,,,,
perdonar,forgive; pardon,,Los débiles no pueden perdonar. El perdón es un atributo de los poderosos. (The weak can never forgive. Forgiveness is the attribute of the strong.),,,,,,,
reprochar,"to reproach, to criticize",,El presidente ha reprochado a los manifestantes por su falta de compromiso contra la violencia. (The president has criticized the protesters for their lack of commitment against violence.),,,,,,,
otra vez,again; another time,,,,,,,,,
probar,to test; to taste,,,,,,,,,
tratar,to handle; to treat,,,,,,,,,
intentar,to attempt,,,,,,,,,
mostrar,to show; to display,,,,,,,,,
pesar,to weigh,,,,,,,,,
tal ves,perhaps,,,,,,,,,
haber,'haber' is a helping (auxiliary) verb,he; has; ha; hemos; habéis; han,,,,,,,,
punto,point (decimal point),,,,,,,,,
coma,comma,,,,,,,,,
hasta pronto!,Until soon!/See you soon!,,,,,,,,,
!Ni modo!,,,No way!,,,,,,,
oler,to smell,,,,,,,,,
equivocado,,,,,,,,,,
importante,important,,,,,,,,,
animal,animal,,,,,,,,,
invitacion,invitation,,,,,,,,,
ser,to be,soy; eres; es; somos; ; son,,,,,,,,
por que,why,,,,,,,,,
centro,downtown,,,,,,,,,
lograr,to reach; to be able to; to manage to,logro; logras; logra; logramos; lográis; logran,,logré; lograste; logró; logramos; lograsteis; lograron,,,,,,
cenar,to have dinner,,voy a cenar,,,,,,,
pagar,to pay,,,,,,,,,
explicar,to explain,explico; explicas; explica; explicamos; explicáis; explican,,expliqué; explicaste; explicó; explicamos; explicasteis; explicaron,explicaría; explicarías; explicaría; explicaríamos; explicaríais; explicarían,,,,,
deber,,,,,,,,,,
amable,friendly; amicable,,Nuestro perro es muy amable. (Our dog is very friendly.),,,,,,,
comoda (accent on first o),comfortable,,,,,,,,,
alla (accent on second a),over there,,,,,,,,,
estricto,strict,,,,,,,,,
bondadoso,gentle; tender,,,,,,,,,
elegante,elegant,,,,,,,,,
tacaño/a,stingy; miserly,,,,,,,,,
generoso/a,generous,,,,,,,,,
cobarde,cowardly,,,,,,,,,
grosero/a,vulgar,,,,,,,,,
hay,"there is, there are",,,,,,,,,
escuchar,to listen,,escuchar música,,,,,,,
varonil,manly; masculine,,,,,,,,,
simpático,nice,,,,,,,,,
inteligente,clever; intelligent,,,,,,,,,
valiente,brave,,,,,,,,,
pasivo/a,passive,,,,,,,,,
femenina,feminine,,,,,,,,,
reservado,reserved (personality),,,,,,,,,
carácter,personality; character,,,,,,,,,
diligente,active,,,,,,,,,
alegre,cheerful,,,,,,,,,
la fotografía,photography,,,,,,,,,
pasear,,,pasear en coche (to go driving),,,,,,,
economía,economics,,,,,,,,,
la jardinería,gardening,,,,,,,,,
sombra,shadow,,,,,,,,,
fin de semana,weekend,,,,,,,,,
levantarse,to wake up,,,,,,,,,
el otoño,fall,,,,,,,,,
acostarse,to go to bed,,,,,,,,,
la cuenta,the check; account,,,,,,,,,
toalla,towel,,,,,,,,,
funcionar,to function; to work,,No funciona. (It doesn't work.),,,,,,,
la ducha,shower,,,,,,,,,
la cadena del servicio,toilet,,,,,,,,,
cada día,each day; every day,,,,,,,,,
un descanso,a break/rest,,,,,,,,,
clientes,clients,,,,,,,,,
banco,bank,,,,,,,,,
válida,valid,,,,,,,,,
hay,"there is, there are",,,,,,,,,
cajero automatico,ATM,,,,,,,,,
impuesto,tax,,,,,,,,,
deuda,debt,,,,,,,,,
transacción,transaction,,,,,,,,,
debito,"debit (e.g., card)",,,,,,,,,
ventas,sales (action),,,,,,,,,
invertir,to invest,,,,,,,,,
ingreso,income,,,,,,,,,
